
     Force(N)        Displ(mm)     Strain(%)
         27225     15.264000      3.500000 
         27232     15.282000      3.500000 
         27238     15.299000      3.500000 
         27242     15.317000      3.500000 
         27247     15.335000      3.500000 
         27253     15.353000      3.500000 
         27255     15.370000      3.500000 
         27263     15.388000      3.500000 
         27267     15.406000      3.500000 
         27275     15.423000      3.500000 
         27273     15.442000      3.500000 
         27278     15.460000      3.500000 
         27280     15.477000      3.500000 
         27283     15.495000      3.500000 
         27280     15.513000      3.500000 
         27282     15.532000      3.500000 
         27280     15.549000      3.500000 
         27277     15.566000      3.500000 
         27272     15.584000      3.500000 
         27263     15.602000      3.500000 
         27255     15.620000      3.500000 
         27238     15.638000      3.500000 
         27220     15.655000      3.500000 
         27205     15.673000      3.500000 
         27183     15.692000      3.500000 
         27167     15.709000      3.500000 
         27153     15.727000      3.500000 
         27143     15.743000      3.500000 
         27140     15.761000      3.500000 
         27137     15.779000      3.500000 
         27135     15.796000      3.500000 
         27135     15.815000      3.500000 
         27138     15.833000      3.500000 
         27148     15.850000      3.500000 
         27148     15.868000      3.500000 
         27148     15.885000      3.500000 
         27153     15.903000      3.500000 
         27157     15.922000      3.500000 
         27162     15.939000      3.500000 
         27165     15.956000      3.500000 
         27168     15.973000      3.500000 
         27172     15.992000      3.500000 
         27175     16.009000      3.500000 
         27177     16.026000      3.500000 
         27183     16.044000      3.500000 
         27183     16.063000      3.500000 
         27192     16.080000      3.500000 
         27187     16.098000      3.500000 
         27190     16.115000      3.500000 
         27197     16.132000      3.500000 
         27202     16.150000      3.500000 
         27198     16.168000      3.500000 
         27202     16.186000      3.500000 
         27205     16.204000      3.500000 
         27210     16.221000      3.500000 
         27212     16.240000      3.500000 
         27215     16.257000      3.500000 
         27222     16.274000      3.500000 
         27220     16.292000      3.500000 
         27225     16.311000      3.500000 
         27232     16.329000      3.500000 
         27233     16.346000      3.500000 
         27237     16.364000      3.500000 
         27238     16.382000      3.500000 
         27243     16.400000      3.500000 
         27247     16.418000      3.500000 
         27252     16.435000      3.500000 
         27257     16.453000      3.500000 
         27262     16.470000      3.500000 
         27267     16.487000      3.500000 
         27272     16.505000      3.500000 
         27275     16.523000      3.500000 
         27280     16.540000      3.500000 
         27283     16.558000      3.500000 
         27287     16.575000      3.500000 
         27290     16.593000      3.500000 
         27292     16.611000      3.500000 
         27295     16.629000      3.500000 
         27295     16.647000      3.500000 
         27298     16.665000      3.500000 
         27300     16.682000      3.500000 
         27302     16.700000      3.500000 
         27303     16.718000      3.500000 
         27315     16.736000      3.500000 
         27315     16.753000      3.500000 
         27323     16.771000      3.500000 
         27332     16.789000      3.500000 
         27343     16.808000      3.500000 
         27353     16.825000      3.500000 
         27363     16.843000      3.500000 
         27372     16.862000      3.500000 
         27387     16.878000      3.500000 
         27395     16.896000      3.500000 
         27412     16.914000      3.500000 
         27427     16.931000      3.500000 
         27440     16.950000      3.500000 
         27455     16.967000      3.500000 
         27463     16.985000      3.500000 
         27472     17.002000      3.500000 
         27487     17.021000      3.500000 
         27500     17.039000      3.500000 
         27510     17.057000      3.500000 
         27520     17.074000      3.500000 
         27527     17.092000      3.500000 
         27537     17.110000      3.500000 
         27547     17.127000      3.500000 
         27553     17.144000      3.500000 
         27562     17.162000      3.500000 
         27565     17.180000      3.500000 
         27568     17.197000      3.500000 
         27567     17.214000      3.500000 
         27563     17.232000      3.500000 
         27555     17.250000      3.500000 
         27537     17.267000      3.500000 
         27513     17.286000      3.500000 
         27480     17.303000      3.500000 
         27455     17.320000      3.500000 
         27430     17.338000      3.500000 
         27407     17.357000      3.500000 
         27388     17.374000      3.500000 
         27387     17.392000      3.500000 
         27382     17.411000      3.500000 
         27382     17.428000      3.500000 
         27378     17.446000      3.500000 
         27380     17.463000      3.500000 
         27377     17.480000      3.500000 
         27377     17.498000      3.500000 
         27383     17.515000      3.500000 
         27385     17.533000      3.500000 
         27382     17.551000      3.500000 
         27382     17.569000      3.500000 
         27383     17.587000      3.500000 
         27385     17.605000      3.500000 
         27390     17.623000      3.500000 
         27390     17.641000      3.500000 
         27392     17.659000      3.500000 
         27392     17.677000      3.500000 
         27392     17.694000      3.500000 
         27393     17.712000      3.500000 
         27392     17.729000      3.500000 
         27392     17.746000      3.500000 
         27392     17.764000      3.500000 
         27390     17.783000      3.500000 
         27393     17.800000      3.500000 
         27395     17.818000      3.500000 
         27392     17.837000      3.500000 
         27398     17.853000      3.500000 
         27393     17.871000      3.500000 
         27395     17.889000      3.500000 
         27392     17.907000      3.500000 
         27392     17.924000      3.500000 
         27392     17.943000      3.500000 
         27388     17.960000      3.500000 
         27388     17.978000      3.500000 
         27387     17.996000      3.500000 
         27387     18.013000      3.500000 
         27388     18.031000      3.500000 
         27387     18.049000      3.500000 
         27387     18.067000      3.500000 
         27387     18.085000      3.500000 
         27385     18.103000      3.500000 
         27385     18.120000      3.500000 
         27385     18.138000      3.500000 
         27385     18.154000      3.500000 
         27382     18.172000      3.500000 
         27375     18.190000      3.500000 
         27373     18.207000      3.500000 
         27380     18.224000      3.500000 
         27380     18.242000      3.500000 
         27377     18.260000      3.500000 
         27372     18.278000      3.500000 
         27373     18.295000      3.500000 
         27375     18.313000      3.500000 
         27373     18.332000      3.500000 
         27373     18.349000      3.500000 
         27370     18.367000      3.500000 
         27368     18.385000      3.500000 
         27367     18.403000      3.500000 
         27363     18.420000      3.500000 
         27367     18.438000      3.500000 
         27363     18.456000      3.500000 
         27362     18.474000      3.500000 
         27357     18.492000      3.500000 
         27355     18.510000      3.500000 
         27355     18.527000      3.500000 
         27355     18.545000      3.500000 
         27352     18.563000      3.500000 
         27353     18.580000      3.500000 
         27345     18.598000      3.500000 
         27343     18.615000      3.500000 
         27337     18.633000      3.500000 
         27337     18.650000      3.500000 
         27332     18.668000      3.500000 
         27325     18.687000      3.500000 
         27318     18.704000      3.500000 
         27320     18.721000      3.500000 
         27310     18.739000      3.500000 
         27303     18.757000      3.500000 
         27300     18.774000      3.500000 
         27292     18.792000      3.500000 
         27285     18.810000      3.500000 
         27277     18.827000      3.500000 
         27268     18.845000      3.500000 
         27255     18.862000      3.500000 
         27248     18.880000      3.500000 
         27237     18.898000      3.500000 
         27225     18.915000      3.500000 
         27212     18.932000      3.500000 
         27200     18.950000      3.500000 
         27185     18.967000      3.500000 
         27172     18.986000      3.500000 
         27158     19.003000      3.500000 
         27142     19.021000      3.500000 
         27127     19.039000      3.500000 
         27113     19.058000      3.500000 
         27100     19.075000      3.500000 
         27077     19.093000      3.500000 
         27060     19.111000      3.500000 
         27045     19.129000      3.500000 
         27022     19.146000      3.500000 
         27003     19.163000      3.500000 
         26985     19.181000      3.500000 
         26958     19.200000      3.500000 
         26940     19.217000      3.500000 
         26917     19.235000      3.500000 
         26895     19.253000      3.500000 
         26875     19.272000      3.500000 
         26847     19.289000      3.500000 
         26825     19.307000      3.500000 
         26797     19.324000      3.500000 
         26773     19.342000      3.500000 
         26743     19.361000      3.500000 
         26712     19.378000      3.500000 
         26680     19.396000      3.500000 
         26653     19.414000      3.500000 
         26630     19.431000      3.500000 
         26598     19.449000      3.500000 
         26562     19.467000      3.500000 
         26528     19.484000      3.500000 
         26500     19.503000      3.500000 
         26463     19.521000      3.500000 
         26428     19.538000      3.500000 
         26395     19.555000      3.500000 
         26358     19.573000      3.500000 
         26320     19.591000      3.500000 
         26282     19.608000      3.500000 
         26243     19.625000      3.500000 
         26202     19.643000      3.500000 
         26167     19.660000      3.500000 
         26122     19.678000      3.500000 
         26077     19.696000      3.500000 
         26037     19.713000      3.500000 
         25997     19.732000      3.500000 
         25943     19.750000      3.500000 
         25900     19.767000      3.500000 
         25852     19.786000      3.500000 
         25808     19.802000      3.500000 
         25755     19.820000      3.500000 
         25705     19.838000      3.500000 
         25655     19.856000      3.500000 
         25603     19.873000      3.500000 
         25552     19.890000      3.500000 
         25502     19.908000      3.500000 
         25445     19.926000      3.500000 
         25387     19.943000      3.500000 
         25332     19.961000      3.500000 
         25277     19.978000      3.500000 
         25220     19.997000      3.500000 
         25155     20.015000      3.500000 
         25102     20.032000      3.500000 
         25037     20.049000      3.500000 
         24975     20.067000      3.500000 
         24912     20.084000      3.500000 
         24843     20.103000      3.500000 
         24778     20.120000      3.500000 
         24707     20.138000      3.500000 
         24642     20.155000      3.500000 
         24568     20.174000      3.500000 
         24500     20.191000      3.500000 
         24428     20.209000      3.500000 
         24355     20.226000      3.500000 
         24280     20.245000      3.500000 
         24210     20.262000      3.500000 
         24127     20.280000      3.500000 
         24048     20.298000      3.500000 
         23965     20.317000      3.500000 
         23888     20.333000      3.500000 
         23805     20.351000      3.500000 
         23723     20.369000      3.500000 
         23638     20.386000      3.500000 
         23553     20.404000      3.500000 
         23467     20.422000      3.500000 
         23378     20.439000      3.500000 
         23290     20.457000      3.500000 
         23195     20.475000      3.500000 
         23100     20.493000      3.500000 
         23010     20.510000      3.500000 
         22917     20.528000      3.500000 
         22817     20.545000      3.500000 
         22723     20.563000      3.500000 
         22618     20.580000      3.500000 
         22518     20.598000      3.500000 
         22417     20.615000      3.500000 
         22307     20.634000      3.500000 
         22192     20.651000      3.500000 
         22083     20.669000      3.500000 
         21978     20.686000      3.500000 
         21865     20.704000      3.500000 
         21742     20.723000      3.500000 
         21630     20.740000      3.500000 
         21512     20.758000      3.500000 
         21388     20.775000      3.500000 
         21260     20.794000      3.500000 
         21135     20.811000      3.500000 
         21008     20.829000      3.500000 
         20880     20.847000      3.500000 
         20737     20.865000      3.500000 
         20605     20.883000      3.500000 
         20470     20.900000      3.500000 
         20345     20.917000      3.500000 
         20202     20.934000      3.500000 
         20058     20.952000      3.500000 
         19907     20.971000      3.500000 
         19763     20.988000      3.500000 
         19600     21.006000      3.500000 
         19452     21.024000      3.500000 
         19288     21.042000      3.500000 
         19128     21.059000      3.500000 
         18960     21.077000      3.500000 
         18787     21.095000      3.500000 
         18622     21.113000      3.500000 
         18437     21.130000      3.500000 
         18262     21.148000      3.500000 
         18082     21.166000      3.500000 
         17893     21.183000      3.500000 
         17693     21.201000      3.500000 
         17497     21.219000      3.500000 
         17285     21.238000      3.500000 
         17075     21.255000      3.500000 
         16862     21.272000      3.500000 
         16625     21.290000      3.500000 
           -37     21.310000      3.500000 

